Order_ID,Customer_ID,Category,Product_Price,Discount,Delivery_Days,Customer_Rating,Returned,Discount_Group,Delivery_Group,Price_Outlier
ORD100045,CUST1538,Fashion,5175.35,31.2,10.0,4.3,No,31-40,9+ Days,False
ORD100046,CUST1600,Home & Kitchen,15379.75,10.9,3.0,3.3,No,11-20,3-4 Days,False
ORD100047,CUST1792,Fashion,4173.39,41.8,6.0,4.9,No,41+,5-6 Days,False
ORD100048,CUST1287,Home & Kitchen,13593.49,37.1,2.0,2.7,No,31-40,0-2 Days,False
ORD100049,CUST1795,Home & Kitchen,8893.51,39.6,6.0,3.4,No,31-40,5-6 Days,False
ORD100050,CUST1049,Electronics,33562.2,25.1,10.0,4.3,No,21-30,9+ Days,False
ORD100051,CUST1585,Sports,3525.05,3.8,3.0,3.4,Yes,0-10,3-4 Days,False
ORD100052,CUST1194,Beauty,4889.49,39.7,6.0,5.0,No,31-40,5-6 Days,False
ORD100053,CUST1710,Sports,3356.61,20.9,7.0,4.3,No,21-30,7-8 Days,False
ORD100054,CUST1415,Sports,1915.02,4.2,8.0,4.6,No,0-10,7-8 Days,False
ORD100055,CUST1665,Home & Kitchen,11357.15,45.3,4.0,3.2,No,41+,3-4 Days,False
ORD100056,CUST1016,Sports,10113.8,56.5,8.0,4.6,No,41+,7-8 Days,False
ORD100057,CUST1109,Electronics,29074.43,24.4,8.0,4.4,No,21-30,7-8 Days,False
ORD100058,CUST1390,Electronics,20221.48,57.4,7.0,5.0,No,41+,7-8 Days,False
ORD100059,CUST1087,Electronics,35699.42,26.4,5.0,2.0,No,21-30,5-6 Days,True
ORD100060,CUST1367,Fashion,3102.52,19.3,11.0,3.2,No,11-20,9+ Days,False
ORD100061,CUST1633,Fashion,7496.51,15.5,7.0,4.1,No,11-20,7-8 Days,False
ORD100062,CUST1709,Fashion,7419.84,49.6,9.0,4.1,No,41+,9+ Days,False
ORD100063,CUST1657,Beauty,3163.52,13.3,4.0,3.8,No,11-20,3-4 Days,False
ORD100064,CUST1009,Fashion,2959.13,36.0,7.0,2.6,Yes,31-40,7-8 Days,False
ORD100065,CUST1346,Fashion,6028.49,16.6,10.0,4.0,No,11-20,9+ Days,False
ORD100066,CUST1446,Home & Kitchen,1688.45,18.1,4.0,4.0,Yes,11-20,3-4 Days,False
ORD100067,CUST1269,Electronics,31112.3,40.5,8.0,3.8,No,41+,7-8 Days,False
ORD100068,CUST1903,Beauty,2217.04,19.3,5.0,3.8,No,11-20,5-6 Days,False
ORD100069,CUST1752,Electronics,55629.47,18.9,4.0,4.6,No,11-20,3-4 Days,True
ORD100070,CUST1488,Sports,871.64,42.0,10.0,3.7,Yes,41+,9+ Days,False
ORD100071,CUST1530,Beauty,3451.04,49.0,5.0,2.8,No,41+,5-6 Days,False
ORD100072,CUST1101,Electronics,45736.5,34.7,5.0,4.9,Yes,31-40,5-6 Days,True
ORD100073,CUST1045,Electronics,31675.99,15.2,4.0,4.9,No,11-20,3-4 Days,False
ORD100074,CUST1408,Beauty,786.8,17.3,3.0,3.8,Yes,11-20,3-4 Days,False
ORD100075,CUST1951,Beauty,5843.03,26.2,4.0,4.5,No,21-30,3-4 Days,False
ORD100076,CUST1288,Beauty,3252.66,29.8,7.0,2.6,No,21-30,7-8 Days,False
ORD100077,CUST1007,Beauty,3800.86,10.2,13.0,3.7,No,11-20,9+ Days,False
ORD100078,CUST1276,Electronics,18013.54,35.8,8.0,2.4,Yes,31-40,7-8 Days,False
ORD100079,CUST1749,Fashion,4126.24,26.3,5.0,4.7,Yes,21-30,5-6 Days,False
ORD100080,CUST1994,Electronics,28603.22,0.0,8.0,2.6,No,0-10,7-8 Days,False
ORD100081,CUST1890,Sports,1771.01,11.1,6.0,3.5,No,11-20,5-6 Days,False
ORD100082,CUST1403,Home & Kitchen,3369.08,17.4,9.0,4.0,No,11-20,9+ Days,False
ORD100083,CUST1366,Fashion,6781.04,23.9,5.0,4.5,Yes,21-30,5-6 Days,False
ORD100084,CUST1702,Electronics,18190.1,53.3,8.0,4.2,No,41+,7-8 Days,False
ORD100085,CUST1014,Fashion,1962.19,28.6,6.0,4.7,No,21-30,5-6 Days,False
ORD100086,CUST1928,Fashion,4286.84,12.4,3.0,4.4,No,11-20,3-4 Days,False
ORD100087,CUST1777,Beauty,4681.86,28.3,5.0,4.8,No,21-30,5-6 Days,False
ORD100088,CUST1868,Home & Kitchen,2299.11,19.7,7.0,2.4,No,11-20,7-8 Days,False
ORD100089,CUST1689,Sports,8948.35,29.9,7.0,3.4,No,21-30,7-8 Days,False
ORD100090,CUST1602,Fashion,1394.08,33.7,5.0,4.2,No,31-40,5-6 Days,False
ORD100091,CUST1980,Electronics,7005.36,43.1,4.0,5.0,No,41+,3-4 Days,False
ORD100092,CUST1605,Beauty,600.64,24.6,5.0,3.4,No,21-30,5-6 Days,False
ORD100093,CUST1528,Beauty,5054.74,49.6,6.0,5.0,No,41+,5-6 Days,False
ORD100094,CUST1735,Home & Kitchen,3654.93,38.6,8.0,4.1,No,31-40,7-8 Days,False
ORD100095,CUST1664,Beauty,557.36,14.4,11.0,3.2,No,11-20,9+ Days,False
ORD100096,CUST1414,Fashion,3784.25,58.1,8.0,2.9,No,41+,7-8 Days,False
ORD100097,CUST1136,Home & Kitchen,21224.64,29.9,6.0,4.4,No,21-30,5-6 Days,False
ORD100098,CUST1730,Fashion,2468.06,12.5,4.0,3.3,No,11-20,3-4 Days,False
ORD100099,CUST1335,Electronics,28194.19,49.8,5.0,3.6,Yes,41+,5-6 Days,False
ORD100100,CUST1762,Electronics,7195.74,56.2,5.0,3.9,No,41+,5-6 Days,False
ORD100101,CUST1882,Electronics,29699.32,24.5,9.0,4.0,No,21-30,9+ Days,False
ORD100102,CUST1138,Home & Kitchen,14778.24,17.4,9.0,5.0,No,11-20,9+ Days,False
ORD100103,CUST1420,Fashion,4781.8,22.4,5.0,4.1,No,21-30,5-6 Days,False
ORD100104,CUST1487,Home & Kitchen,8844.73,35.7,5.0,3.3,No,31-40,5-6 Days,False
ORD100105,CUST1024,Sports,5212.12,44.2,9.0,3.2,No,41+,9+ Days,False
ORD100106,CUST1241,Fashion,1299.68,33.6,5.0,5.0,No,31-40,5-6 Days,False
ORD100107,CUST1648,Fashion,3250.99,26.5,7.0,3.4,No,21-30,7-8 Days,False
ORD100108,CUST1513,Beauty,867.12,47.5,7.0,4.3,No,41+,7-8 Days,False
ORD100109,CUST1757,Fashion,6249.47,20.3,2.0,4.0,No,21-30,0-2 Days,False
ORD100110,CUST1330,Electronics,58145.09,40.5,6.0,4.1,No,41+,5-6 Days,True
ORD100111,CUST1623,Fashion,7775.56,20.7,4.0,4.9,No,21-30,3-4 Days,False
ORD100112,CUST1471,Electronics,52578.91,31.5,10.0,4.0,No,31-40,9+ Days,True
ORD100113,CUST1358,Sports,9291.33,23.3,5.0,4.5,No,21-30,5-6 Days,False
ORD100114,CUST1458,Beauty,4294.93,24.2,9.0,4.0,No,21-30,9+ Days,False
ORD100115,CUST1417,Home & Kitchen,7701.98,19.3,9.0,3.4,No,11-20,9+ Days,False
ORD100116,CUST1543,Sports,9720.02,45.2,3.0,4.2,No,41+,3-4 Days,False
ORD100117,CUST1742,Beauty,2897.2,14.0,7.0,3.3,No,11-20,7-8 Days,False
ORD100118,CUST1077,Electronics,31510.95,13.9,10.0,2.9,No,11-20,9+ Days,False
ORD100119,CUST1062,Sports,11536.2,56.8,5.0,4.3,No,41+,5-6 Days,False
ORD100120,CUST1547,Home & Kitchen,7622.42,39.7,5.0,4.2,No,31-40,5-6 Days,False
ORD100121,CUST1684,Beauty,2112.83,0.0,7.0,4.1,No,0-10,7-8 Days,False
ORD100122,CUST1175,Sports,13922.38,16.5,14.0,3.8,Yes,11-20,9+ Days,False
ORD100123,CUST1928,Fashion,921.68,0.0,7.0,3.7,Yes,0-10,7-8 Days,False
ORD100124,CUST1447,Electronics,31709.89,10.7,9.0,2.9,Yes,11-20,9+ Days,False
ORD100125,CUST1022,Fashion,7346.01,0.0,9.0,2.3,Yes,0-10,9+ Days,False
ORD100126,CUST1647,Fashion,5077.72,22.9,2.0,4.5,Yes,21-30,0-2 Days,False
ORD100127,CUST1134,Beauty,3414.52,7.9,9.0,4.5,Yes,0-10,9+ Days,False
ORD100128,CUST1937,Sports,4271.34,25.9,5.0,3.6,No,21-30,5-6 Days,False
ORD100129,CUST1976,Electronics,23880.15,0.6,5.0,5.0,No,0-10,5-6 Days,False
ORD100130,CUST1524,Home & Kitchen,21419.57,26.2,3.0,4.2,No,21-30,3-4 Days,False
ORD100131,CUST1969,Fashion,4694.14,18.8,7.0,4.1,No,11-20,7-8 Days,False
ORD100132,CUST1936,Fashion,4360.57,47.5,7.0,5.0,Yes,41+,7-8 Days,False
ORD100133,CUST1453,Electronics,10476.88,46.2,4.0,2.8,No,41+,3-4 Days,False
ORD100134,CUST1954,Fashion,620.21,36.8,6.0,3.8,Yes,31-40,5-6 Days,False
ORD100135,CUST1899,Sports,14480.7,20.1,9.0,3.1,Yes,21-30,9+ Days,False
ORD100136,CUST1100,Fashion,3327.4,54.8,10.0,3.5,No,41+,9+ Days,False
ORD100137,CUST1555,Home & Kitchen,15397.76,1.7,4.0,3.7,No,0-10,3-4 Days,False
ORD100138,CUST1842,Beauty,754.38,3.9,3.0,3.8,No,0-10,3-4 Days,False
ORD100139,CUST1776,Fashion,5623.36,23.7,8.0,2.9,No,21-30,7-8 Days,False
ORD100140,CUST1201,Sports,14035.7,58.8,7.0,3.9,Yes,41+,7-8 Days,False
ORD100141,CUST1653,Sports,8932.01,22.0,7.0,3.1,No,21-30,7-8 Days,False
ORD100142,CUST1184,Fashion,1445.86,22.3,7.0,4.8,No,21-30,7-8 Days,False
ORD100143,CUST1762,Fashion,4862.91,3.4,5.0,4.4,No,0-10,5-6 Days,False
ORD100144,CUST1147,Fashion,6247.6,39.2,7.0,4.1,Yes,31-40,7-8 Days,False
ORD100145,CUST1279,Fashion,3548.12,39.3,11.0,3.4,No,31-40,9+ Days,False
ORD100146,CUST1299,Electronics,53391.08,36.8,5.0,3.9,No,31-40,5-6 Days,True
ORD100147,CUST1280,Home & Kitchen,16498.13,15.6,4.0,4.4,No,11-20,3-4 Days,False
ORD100148,CUST1387,Home & Kitchen,22561.82,14.4,1.0,3.5,No,11-20,0-2 Days,False
ORD100149,CUST1225,Electronics,39292.79,5.6,6.0,2.5,Yes,0-10,5-6 Days,True
ORD100150,CUST1727,Fashion,1484.66,26.3,4.0,4.4,No,21-30,3-4 Days,False
ORD100151,CUST1398,Sports,5128.59,8.8,5.0,4.2,No,0-10,5-6 Days,False
ORD100152,CUST1979,Fashion,2013.46,7.3,6.0,4.1,Yes,0-10,5-6 Days,False
ORD100153,CUST1417,Electronics,54985.46,18.6,4.0,3.2,No,11-20,3-4 Days,True
ORD100154,CUST1855,Fashion,6203.0,17.7,3.0,4.6,No,11-20,3-4 Days,False
ORD100155,CUST1155,Sports,10372.5,16.9,9.0,4.7,No,11-20,9+ Days,False
ORD100156,CUST1652,Fashion,2757.25,32.0,5.0,4.0,No,31-40,5-6 Days,False
ORD100157,CUST1046,Home & Kitchen,5253.88,26.2,4.0,3.5,No,21-30,3-4 Days,False
ORD100158,CUST1111,Beauty,4611.77,20.7,9.0,3.5,Yes,21-30,9+ Days,False
ORD100159,CUST1711,Fashion,4056.18,27.7,6.0,3.5,Yes,21-30,5-6 Days,False
ORD100160,CUST1228,Beauty,1587.0,10.1,7.0,3.4,No,11-20,7-8 Days,False
ORD100161,CUST1302,Fashion,5124.66,26.6,8.0,3.5,No,21-30,7-8 Days,False
ORD100162,CUST1082,Home & Kitchen,1776.08,27.3,11.0,4.1,No,21-30,9+ Days,False
ORD100163,CUST1144,Home & Kitchen,8693.32,2.5,8.0,4.5,Yes,0-10,7-8 Days,False
ORD100164,CUST1570,Home & Kitchen,12139.08,39.9,4.0,5.0,Yes,31-40,3-4 Days,False
ORD100165,CUST1142,Electronics,13137.71,11.8,4.0,3.1,No,11-20,3-4 Days,False
ORD100166,CUST1341,Beauty,5912.53,26.4,8.0,3.2,No,21-30,7-8 Days,False
ORD100167,CUST1427,Fashion,2068.23,42.5,4.0,4.5,No,41+,3-4 Days,False
ORD100168,CUST1475,Electronics,12169.42,38.9,4.0,3.1,No,31-40,3-4 Days,False
ORD100169,CUST1537,Electronics,16194.42,25.5,4.0,2.9,No,21-30,3-4 Days,False
ORD100170,CUST1614,Home & Kitchen,19411.28,19.6,9.0,3.0,No,11-20,9+ Days,False
ORD100171,CUST1143,Home & Kitchen,11097.24,39.2,3.0,3.7,No,31-40,3-4 Days,False
ORD100172,CUST1586,Electronics,36097.88,35.1,6.0,5.0,No,31-40,5-6 Days,True
ORD100173,CUST1414,Home & Kitchen,1308.42,15.7,5.0,3.7,No,11-20,5-6 Days,False
ORD100174,CUST1044,Fashion,758.23,13.1,3.0,4.0,No,11-20,3-4 Days,False
ORD100175,CUST1905,Home & Kitchen,11588.98,0.0,4.0,2.8,No,0-10,3-4 Days,False
ORD100176,CUST1860,Electronics,49916.04,27.3,3.0,4.7,No,21-30,3-4 Days,True
ORD100177,CUST1241,Home & Kitchen,22222.78,23.8,7.0,4.5,No,21-30,7-8 Days,False
ORD100178,CUST1082,Fashion,1150.3,42.0,4.0,3.4,Yes,41+,3-4 Days,False
ORD100179,CUST1395,Sports,8398.59,30.4,7.0,3.3,No,31-40,7-8 Days,False
ORD100180,CUST1870,Electronics,55227.63,45.0,6.0,4.6,No,41+,5-6 Days,True
ORD100181,CUST1499,Fashion,3409.8,14.5,5.0,3.6,No,11-20,5-6 Days,False
ORD100182,CUST1066,Electronics,50626.12,42.1,7.0,3.3,No,41+,7-8 Days,True
ORD100183,CUST1278,Sports,2611.85,17.1,7.0,3.5,No,11-20,7-8 Days,False
ORD100184,CUST1599,Sports,14076.14,36.7,7.0,4.0,No,31-40,7-8 Days,False
ORD100185,CUST1916,Fashion,6135.67,3.1,8.0,4.4,Yes,0-10,7-8 Days,False
ORD100186,CUST1877,Home & Kitchen,23580.29,28.5,11.0,4.1,No,21-30,9+ Days,False
ORD100187,CUST1925,Beauty,4156.72,0.0,13.0,4.0,Yes,0-10,9+ Days,False
ORD100188,CUST1858,Home & Kitchen,9594.38,21.0,6.0,3.6,No,21-30,5-6 Days,False
ORD100189,CUST1959,Home & Kitchen,23503.98,31.6,8.0,3.9,No,31-40,7-8 Days,False
ORD100190,CUST1553,Fashion,2566.75,17.2,11.0,3.5,Yes,11-20,9+ Days,False
ORD100191,CUST1891,Electronics,23269.49,9.2,3.0,3.6,No,0-10,3-4 Days,False
ORD100192,CUST1716,Sports,10721.56,37.7,5.0,4.9,Yes,31-40,5-6 Days,False
ORD100193,CUST1880,Sports,11644.02,23.4,7.0,3.8,No,21-30,7-8 Days,False
ORD100194,CUST1349,Home & Kitchen,23291.56,17.7,5.0,3.5,No,11-20,5-6 Days,False
ORD100195,CUST1851,Fashion,2036.02,25.6,6.0,3.3,No,21-30,5-6 Days,False
ORD100196,CUST1738,Fashion,6484.99,64.6,4.0,2.0,No,41+,3-4 Days,False
ORD100197,CUST1048,Beauty,4509.71,42.3,4.0,5.0,No,41+,3-4 Days,False
ORD100198,CUST1283,Sports,1612.26,42.4,4.0,5.0,No,41+,3-4 Days,False
ORD100199,CUST1350,Sports,6237.29,31.5,7.0,4.3,No,31-40,7-8 Days,False
ORD100200,CUST1741,Beauty,1911.76,27.5,6.0,3.0,Yes,21-30,5-6 Days,False
ORD100201,CUST1927,Home & Kitchen,8168.67,0.0,10.0,5.0,No,0-10,9+ Days,False
ORD100202,CUST1860,Electronics,59062.08,14.8,2.0,2.7,No,11-20,0-2 Days,True
ORD100203,CUST1409,Electronics,40352.76,17.8,6.0,4.1,No,11-20,5-6 Days,True
ORD100204,CUST1945,Sports,10962.77,0.0,7.0,2.4,Yes,0-10,7-8 Days,False
ORD100205,CUST1710,Home & Kitchen,24434.15,7.6,6.0,2.1,Yes,0-10,5-6 Days,False
ORD100206,CUST1704,Electronics,25746.1,0.0,9.0,4.0,No,0-10,9+ Days,False
ORD100207,CUST1312,Electronics,49101.21,24.4,5.0,4.1,No,21-30,5-6 Days,True
ORD100208,CUST1391,Home & Kitchen,11315.65,37.3,7.0,3.9,No,31-40,7-8 Days,False
ORD100209,CUST1582,Electronics,52824.35,41.6,6.0,5.0,No,41+,5-6 Days,True
ORD100210,CUST1931,Electronics,14936.16,31.2,8.0,3.8,No,31-40,7-8 Days,False
ORD100211,CUST1985,Home & Kitchen,23734.01,10.5,5.0,4.4,No,11-20,5-6 Days,False
ORD100212,CUST1533,Home & Kitchen,6094.28,0.0,8.0,3.2,Yes,0-10,7-8 Days,False
ORD100213,CUST1559,Home & Kitchen,8694.54,0.0,5.0,4.8,No,0-10,5-6 Days,False
ORD100214,CUST1828,Fashion,6171.44,6.0,6.0,4.9,Yes,0-10,5-6 Days,False
ORD100215,CUST1880,Beauty,2544.4,11.7,6.0,3.6,No,11-20,5-6 Days,False
ORD100216,CUST1913,Fashion,5061.59,22.6,6.0,4.1,No,21-30,5-6 Days,False
ORD100217,CUST1233,Fashion,3834.3,9.8,7.0,3.2,No,0-10,7-8 Days,False
ORD100218,CUST1090,Beauty,4531.51,30.1,6.0,3.6,Yes,31-40,5-6 Days,False
ORD100219,CUST1745,Home & Kitchen,6325.62,21.5,4.0,4.4,No,21-30,3-4 Days,False
ORD100220,CUST1785,Beauty,633.21,25.2,4.0,4.2,Yes,21-30,3-4 Days,False
ORD100221,CUST1765,Home & Kitchen,8058.29,42.1,6.0,2.4,No,41+,5-6 Days,False
ORD100222,CUST1711,Home & Kitchen,12278.27,7.3,5.0,2.9,No,0-10,5-6 Days,False
ORD100223,CUST1665,Electronics,14241.1,31.3,6.0,3.3,No,31-40,5-6 Days,False
ORD100224,CUST1674,Fashion,3160.98,24.8,3.0,4.0,No,21-30,3-4 Days,False
ORD100225,CUST1794,Fashion,3499.87,20.0,9.0,3.1,No,11-20,9+ Days,False
ORD100226,CUST1006,Fashion,930.44,38.3,5.0,2.7,No,31-40,5-6 Days,False
ORD100227,CUST1010,Sports,9041.29,38.2,2.0,1.7,No,31-40,0-2 Days,False
ORD100228,CUST1337,Fashion,7132.58,10.8,4.0,5.0,No,11-20,3-4 Days,False
ORD100229,CUST1974,Sports,2869.92,22.3,7.0,4.0,No,21-30,7-8 Days,False
ORD100230,CUST1643,Home & Kitchen,15266.95,29.2,8.0,2.6,No,21-30,7-8 Days,False
ORD100231,CUST1315,Beauty,4089.01,20.9,6.0,4.6,No,21-30,5-6 Days,False
ORD100232,CUST1112,Home & Kitchen,10947.9,33.8,4.0,5.0,No,31-40,3-4 Days,False
ORD100233,CUST1080,Home & Kitchen,17766.56,29.2,6.0,4.0,Yes,21-30,5-6 Days,False
ORD100234,CUST1453,Fashion,3580.49,52.5,5.0,4.3,Yes,41+,5-6 Days,False
ORD100235,CUST1048,Electronics,32755.05,2.0,5.0,4.8,No,0-10,5-6 Days,False
ORD100236,CUST1663,Beauty,341.91,23.2,3.0,4.3,Yes,21-30,3-4 Days,False
ORD100237,CUST1091,Fashion,5687.9,11.4,4.0,4.3,Yes,11-20,3-4 Days,False
ORD100238,CUST1645,Electronics,41373.85,34.1,5.0,2.6,Yes,31-40,5-6 Days,True
ORD100239,CUST1696,Home & Kitchen,1729.3,0.7,7.0,1.6,No,0-10,7-8 Days,False
ORD100240,CUST1741,Electronics,25253.76,30.2,9.0,4.5,Yes,31-40,9+ Days,False
ORD100241,CUST1934,Sports,14700.16,15.5,6.0,3.6,No,11-20,5-6 Days,False
ORD100242,CUST1978,Sports,6716.53,14.0,3.0,3.4,No,11-20,3-4 Days,False
ORD100243,CUST1076,Sports,7877.82,3.3,4.0,4.6,No,0-10,3-4 Days,False
ORD100244,CUST1085,Fashion,7324.48,18.0,7.0,3.0,No,11-20,7-8 Days,False
ORD100245,CUST1263,Electronics,44449.4,41.3,7.0,3.8,No,41+,7-8 Days,True
ORD100246,CUST1401,Sports,9023.6,24.6,10.0,3.8,No,21-30,9+ Days,False
ORD100247,CUST1234,Fashion,6483.54,34.4,6.0,4.4,Yes,31-40,5-6 Days,False
ORD100248,CUST1777,Sports,13060.44,50.0,4.0,4.1,No,41+,3-4 Days,False
ORD100249,CUST1216,Sports,7233.5,29.0,7.0,4.1,No,21-30,7-8 Days,False
ORD100250,CUST1971,Sports,7494.05,16.6,5.0,3.5,No,11-20,5-6 Days,False
ORD100251,CUST1345,Fashion,3395.38,32.0,6.0,3.5,No,31-40,5-6 Days,False
ORD100252,CUST1174,Fashion,7750.3,16.8,5.0,4.1,No,11-20,5-6 Days,False
ORD100253,CUST1037,Sports,10669.48,17.4,8.0,3.4,No,11-20,7-8 Days,False
ORD100254,CUST1903,Fashion,1124.17,2.2,10.0,3.1,No,0-10,9+ Days,False
ORD100255,CUST1529,Electronics,52462.78,38.9,7.0,4.8,No,31-40,7-8 Days,True
ORD100256,CUST1887,Home & Kitchen,12429.55,19.2,6.0,3.3,No,11-20,5-6 Days,False
ORD100257,CUST1809,Sports,1683.18,27.7,3.0,3.4,No,21-30,3-4 Days,False
ORD100258,CUST1320,Home & Kitchen,14103.16,9.5,8.0,4.8,No,0-10,7-8 Days,False
ORD100259,CUST1851,Home & Kitchen,10895.38,31.5,3.0,3.2,No,31-40,3-4 Days,False
ORD100260,CUST1313,Electronics,53276.22,13.6,6.0,4.1,No,11-20,5-6 Days,True
ORD100261,CUST1469,Home & Kitchen,5736.67,22.9,6.0,4.1,No,21-30,5-6 Days,False
ORD100262,CUST1045,Sports,12518.44,38.2,5.0,3.7,No,31-40,5-6 Days,False
ORD100263,CUST1073,Electronics,35672.88,36.9,3.0,3.5,No,31-40,3-4 Days,True
ORD100264,CUST1365,Home & Kitchen,2121.57,24.7,12.0,2.9,Yes,21-30,9+ Days,False
ORD100265,CUST1878,Sports,14597.39,0.0,6.0,4.3,No,0-10,5-6 Days,False
ORD100266,CUST1904,Beauty,3221.91,69.9,9.0,4.7,No,41+,9+ Days,False
ORD100267,CUST1878,Home & Kitchen,7839.22,51.2,11.0,4.6,No,41+,9+ Days,False
ORD100268,CUST1109,Beauty,2975.62,35.8,11.0,4.1,Yes,31-40,9+ Days,False
ORD100269,CUST1347,Fashion,6933.93,13.7,6.0,2.2,No,11-20,5-6 Days,False
ORD100270,CUST1855,Fashion,2786.77,23.3,3.0,4.4,No,21-30,3-4 Days,False
ORD100271,CUST1138,Beauty,1398.26,16.8,8.0,3.7,Yes,11-20,7-8 Days,False
ORD100272,CUST1182,Beauty,1035.71,44.0,8.0,3.3,No,41+,7-8 Days,False
ORD100273,CUST1962,Sports,4959.39,28.9,11.0,4.3,Yes,21-30,9+ Days,False
ORD100274,CUST1812,Sports,11854.69,13.2,4.0,4.0,No,11-20,3-4 Days,False
ORD100275,CUST1304,Home & Kitchen,12213.36,17.9,8.0,4.6,No,11-20,7-8 Days,False
ORD100276,CUST1327,Home & Kitchen,6305.05,41.8,7.0,4.1,No,41+,7-8 Days,False
ORD100277,CUST1514,Beauty,1247.25,49.0,3.0,3.6,No,41+,3-4 Days,False
ORD100278,CUST1080,Home & Kitchen,8852.05,47.9,3.0,3.5,No,41+,3-4 Days,False
